UWI,UTM_E,UTM_N,g_elev_ft,TCCZ_top,TCCZ_bottom,TCCZ_th_ft
BGT53,437287.87,3682412.68,278.25,200,191.25,8.75
BRR6B,436497.6,3682296.07,293.9,178.9,165.9,13
BRR7B,436307.51,3682353.98,289.6,202,189.6,12.4
BRR8,436158.97,3682265.41,277.4,205,200.4,4.6
FBICPT1,436669.336,3681492.08,254.100006,168,151,17
FCH4,436642,3682574,298,197,187,10
FCH5,436648.6,3682382,284,196,191,5
FCH6,436651.944,3682161.711,292,189,182,7
FCPT10,436564.873,3681240.079,224.17,181.75,163,18.75
FCPT100,436638.21,3681157.14,0,179,162,17
FCPT101,436579.96,3681181.59,0,188,168,20
FCPT102,436556.04,3681106.64,0,187,0,0
FCPT103,436489.38,3681213.49,0,178,159,19
FCPT104,436481.41,3681098.67,0,189,161,28
FCPT105,436452.06,3681102.82,0,185,160,25
FCPT106,436449.51,3681067.41,0,184,158,26
FCPT107,436476.3,3681049.87,0,167,150,17
FCPT108,436505.01,3681009.69,0,168,145,23
FCPT109,436470.88,3680983.21,0,0,0,0
FCPT11,436675.15,3681322.82,237.47,179,160.5,18.5
FCPT110,436429.74,3680950.36,0,160,0,0
FCPT111,436430.2,3681022.17,0,0,0,0
FCPT112,436394.02,3681037.75,0,179,156,23
FCPT113,436374.24,3681013.83,0,0,0,0
FCPT12,436741.351,3681344.416,235.65,168,150,18
FCPT13,436816.547,3681309.274,223.07,172,156.5,15.5
FCPT14,436873.245,3681299.553,216.4,169.5,157,12.5
FCPT15,436836.071,3681382.142,224.7,168,156,12
FCPT16,436736,3681651,239,170,158,12
FCPT17,437038.98,3681393.07,0,179,164,15
FCPT18,436917.13,3681415.9,0,171,159,12
FCPT19,436781.02,3681421.4,0,177,165,12
FCPT20,437006.25,3681589.13,0,178,161,17
FCPT21,437034.83,3681653.04,0,179,0,0
FCPT22,436789.41,3681804.82,275.799988,165.5,150.5,15
FCPT23,436898.02,3681966.45,0,186,0,0
FCPT24,436855.77,3682006.23,0,0,0,0
FCPT25,436741.14,3681167.18,205,182,164,18
FCPT26,436743.77,3681058.99,0,0,0,0
FCPT27,436747.97,3680950.52,0,0,0,0
FCPT28,436673.9,3681588.23,276.059998,161,151,10
FCPT29,436595.07,3681595.68,0,174,156,18
FCPT30,436548.86,3681520.58,0,165,147,18
FCPT31,436530.73,3681334.99,0,171,154,17
FCPT32,436617.6,3681185.24,0,186,168,18
FCPT33,436350.5,3680998.7,215.899994,182,172,10
FCPT34,436355.27,3681230.56,234.399994,166,153,13
FCPT35,436388.96,3681491.67,0,167,148,19
FCPT36,436265.07,3681173.02,240.100006,177,164,13
FCPT37,436187.41,3681356.59,0,171,154,17
FCPT38,436140.72,3681096.66,256.459991,189,174,15
FCPT39,436493.34,3681110.73,0,187,160,27
FCPT40,436961.62,3681735.18,0,178,0,0
FCPT43,436143.41,3680736.15,0,172,0,0
FCPT48,436018.32,3681471.32,0,183,172,11
FCPT49,436296.19,3681583.07,0,174,155,19
FCPT50,436312.94,3681732.75,0,168,152,16
FCPT53,436726.43,3681679.46,0,169,159,10
FCPT56,436679.32,3681448.59,0,163,147,16
FCPT57,436674.4,3681369.07,0,167,153,14
FCPT58,436734,3681589,238,166,152,14
FCPT59,436910.98,3681328.41,0,177,162,15
FCPT6,436444.926,3681187.891,226.1,165,148.5,16.5
FCPT60,436723.77,3681318.65,0,163,146,17
FCPT61,436723.65,3681261.16,0,186,0,0
FCPT62,436726.85,3681228.37,0,181,166,15
FCPT63,436213.45,3681140.37,0,185,167,18
FCPT64,436285.62,3681078.66,0,186,165,21
FCPT65,436430.22,3681278.32,0,163,151,12
FCPT66,436483.95,3681311.7,0,165,154,11
FCPT67,436581.4,3681372.57,0,0,0,0
FCPT68,436419.33,3681156.47,0,176,156,20
FCPT69,436360.19,3681123.32,0,179,161,18
FCPT7,436750.62,3681369.15,0,0,0,0
FCPT70,436469.09,3681082.64,0,0,0,0
FCPT71,436425.22,3681053.51,0,169,145,24
FCPT72,436908.23,3681373.7,0,171,159,12
FCPT73,436799.94,3681288.05,0,177,162,15
FCPT74,436549.88,3681172.45,0,172,0,0
FCPT75,436529.81,3681140.09,0,182,161,21
FCPT76,436689.4,3681194.35,0,174,152,22
FCPT77,436787.87,3681319.92,0,174,156,18
FCPT78,436875.86,3681365.57,0,162,145,17
FCPT79,436793.08,3681354.97,0,170,0,0
FCPT8,436789.459,3681398.089,230.62,164.75,153.75,11
FCPT80,436975.13,3681442.81,0,171,156,15
FCPT81,436946.1,3681421.44,0,172,156,16
FCPT82,436910.46,3681351.73,0,174,162,12
FCPT83,436892.52,3681306.3,0,172,157,15
FCPT84,436901.13,3681258.14,0,178,162,16
FCPT85,436843.31,3681353.37,0,164,150,14
FCPT86,436765.58,3681291.63,0,180,167,13
FCPT87,436822.71,3681272.68,0,189,174,15
FCPT88,436415.78,3681120.3,0,177,155,22
FCPT89,436736.56,3681194.99,0,180,160,20
FCPT9,436836.512,3681433.186,229.68,171,154,17
FCPT91,436726.35,3681243.15,0,188,0,0
FCPT92,436698.93,3681233.25,0,184,0,0
FCPT93,436704.7,3681258.07,0,177,0,0
FCPT94,436669.82,3681227.7,0,169,156,13
FCPT95,436648.53,3681205.83,0,174,158,16
FCPT96,436596.17,3681214.59,0,186,0,0
FCPT99,436583.15,3681067.41,0,185,0,0
FIW1MC,436719.75,3682122.61,293.3,190,185.3,4.7
FIW2MA,436719.95,3682034.37,290.5,189,179.5,9.5
FSB100A,436736.1,3681895,283.8,185,182.8,2.2
FSB112A,436440,3681189,227,164,144,20
FSB113A,437007.488,3681579.118,221.3,178,171,7
FSB114A,437046.2,3682032,250,178,173,5
FSB115C,436975.8,3680933,205.8,181,173.8,7.2
FSB116C,437162.073,3681148.166,200.5,176,171,5
FSB120A,436295.4,3681577,278,181,165,16
FSB121C,436176.21,3681346.43,254.4,173,162,11
FSB122C,436350.93,3680993.49,216,181,173,8
FSB78A,436681.8,3681563,270.5,163,160.5,2.5
FSB79A,436871.9,3681290,216.1,173,164.1,8.9
FSB87A,436516.4,3681762,285.6,176,172.6,3.4
FSB96A,436562.3,3681523,277.7,167,153.7,13.3
FSB97A,436556.5,3681628,283.8,163,151.8,11.2
FSB98A,436555.2,3681710,280.7,172,168.7,3.3
FSB99A,436552.1,3681815,285.3,178,173.3,4.7
FSBCPT1,436719.8153,3681887.2,287.399994,180,164,16
FSBCPT2,436613.3881,3681917.22,294.899994,188,176,12
FSBCPT3,436569.3814,3681890.53,290.700012,187,176,11
FSBCPT4,436495.2899,3681841.65,283.899994,179,162,17
FSBCPT5,436726.7939,3681978.63,287.5,194,177,17
FSBPC,436792.711,3681393.638,230.8,161,157,4
