UWI,UTM_E,UTM_N,GRD_ELEV_FT,Barnwell_top,TCCZ_top,TCCZ_bottom,TCCZ_th_ft,Santee_top,MFS_top
BGO10AA,437958.9,3683338,298.8,271,219,206.8,12.2,168,131
BGO12A,437811.5,3683158,311.4,273,202.4,186.4,16,164,133.488
BGO14A,437787.1,3682978,300.2,280,220,212.2,7.8,180,132.2
BGO16A,437985.8,3682890,302.8,297,196,182.8,13.2,161,127
BGO18A,438137.9,3682942,292.9,258.9,204.9,198.9,6,160,128
BGO20AA,438350.58,3682851.64,281.3,NA,206,194.3,11.7,173,118.671
BGO25A,437783.7,3682894,294.7,278,214.7,200.7,14,177,133.485
BGO26A,437625.6,3682773,285.1,253,225.1,205.1,20,178,133.1
BGO29A,437506.3,3682466,262.1,246,196,185.1,10.9,157,117.403
BGO39A,438777.8,3682644,293.7,278,204,201.7,2.3,153,109.279
BGO3A,438682.5,3683296,288,273,197,188,9,163,126.214
BGO41A,437662.9,3682923,298.3,275,217,208.3,8.7,169,132.209
BGO43AA,437769.1,3683225,312.2,277,195,187.2,7.8,162,132.442
BGO44AA,438222.1,3683438,283.3,248,222,199.3,22.7,160,123.3
BGO45A,437567.8,3682613,276.9,252,207,200.9,6.1,171,130.137
BGO46B,437688.3,3682393,263.4,NA,199,193.4,5.6,164.4,126.756
BGO47A,437854.2,3682407,264.8,NA,198,189.8,8.2,153,125.889
BGO49A,438320.9,3682435,269.1,239.1,201,192.1,8.9,148.1,115
BGO50A,437588.7,3682391,253.5,NA,194,183.5,10.5,157,128.092
BGO51AA,438692.1,3682785,287.2,262,205,194.2,10.8,158,NA
BGO52AA,438428.32,3682790.72,281.6,NA,207,196.6,10.4,151,118
BGO53AA,437742.14,3682829.05,288.9,278,223,215.9,7.1,181.9,133.645
BGO6A,438377.7,3683450,283.8,NA,210.8,194.8,16,168.8,119.8
BGO6B,438373.1,3683471,284.5,273,203,191.5,11.5,162,NA
BGO8A,438190.8,3683345,281.3,265,213,199.3,13.7,180,126
BGO9AA,438057,3683401,282.8,251,224,210.8,13.2,179,135.025
BGT3,438675.79,3683935.56,275.7,NA,211.7,197.7,14,178.7,141.768
BGT47,437455.56,3682992.36,317.32,262,214,210.32,3.68,170,130
BGT5,438806.06,3684211.29,225.7,NA,NA,0,NA,179,146.7
BGT53,437287.87,3682412.68,278.25,254,200,191.25,8.75,149.25,114
BGT61,439061.09,3682600.74,284.3,266,184,178.3,5.7,142.3,103
BGT67,439263.58,3683325.27,242.03,NA,177.03,173.03,4,163,129.03
BGT9,438237.08,3684160.69,226,NA,NA,0,NA,168,142.676
BGX11D,438901.53,3683384.96,273.8,NA,192.8,176.8,16,156.8,120.983
BGX1A,438383.2,3683584,289.1,256,211,198.1,12.9,166,131.258
BGX2B,438233.93,3683616.1,289.2,261.2,216,198.2,17.8,167,135.26
BGX4A,437856.31,3683595.92,288.8,258,225,212.8,12.2,172.8,124
BGX7D,438042.31,3683908.49,277.1,253,225,220.1,4.9,185.1,152.1
BGX9D,438593.67,3683777.18,277.4,249,207,202.4,4.6,170,136.616
BRR6B,436497.6,3682296.07,293.9,270,178.9,165.9,13,140,110
BRR7B,436307.51,3682353.98,289.6,273,202,189.6,12.4,158,127
BRR8,436158.97,3682265.41,277.4,272,205,200.4,4.6,159,127.4
FAC1SB,437323.95,3683305.94,312.2,281,224,217.2,6.8,177,NA
FBICPT1,436669.336,3681492.08,254.100006,NA,168,151,17,NA,NA
FCH1,436490.5,3683208,317,291,214,202,12,173,129
FCH2,436607.8,3682921,289,276,213,197,16,168,132.525
FCH3,436560.6,3682721,307,282,207,196,11,156,132.462
FCH4,436642,3682574,298,264,197,187,10,153,123.036
FCH5,436648.6,3682382,284,250,196,191,5,163,128
FCH6,436651.944,3682161.711,292,244,189,182,7,155,122.741
FCPT10,436564.873,3681240.079,224.17,NA,181.75,163,18.75,NA,NA
FCPT100,436638.21,3681157.14,NA,NA,179,162,17,NA,NA
FCPT101,436579.96,3681181.59,NA,NA,188,168,20,NA,NA
FCPT102,436556.04,3681106.64,NA,NA,187,NA,NA,NA,NA
FCPT103,436489.38,3681213.49,NA,NA,178,159,19,NA,NA
FCPT104,436481.41,3681098.67,NA,NA,189,161,28,NA,NA
FCPT105,436452.06,3681102.82,NA,NA,185,160,25,NA,NA
FCPT106,436449.51,3681067.41,NA,NA,184,158,26,NA,NA
FCPT107,436476.3,3681049.87,NA,NA,167,150,17,NA,NA
FCPT108,436505.01,3681009.69,NA,NA,168,145,23,NA,NA
FCPT109,436470.88,3680983.21,NA,NA,NA,0,NA,NA,NA
FCPT11,436675.15,3681322.82,237.47,NA,179,160.5,18.5,NA,NA
FCPT110,436429.74,3680950.36,NA,NA,160,NA,NA,NA,NA
FCPT111,436430.2,3681022.17,NA,NA,NA,0,NA,NA,NA
FCPT112,436394.02,3681037.75,NA,NA,179,156,23,NA,NA
FCPT113,436374.24,3681013.83,NA,NA,NA,0,NA,NA,NA
FCPT12,436741.351,3681344.416,235.65,NA,168,150,18,NA,NA
FCPT13,436816.547,3681309.274,223.07,NA,172,156.5,15.5,NA,NA
FCPT14,436873.245,3681299.553,216.4,NA,169.5,157,12.5,NA,NA
FCPT15,436836.071,3681382.142,224.7,NA,168,156,12,NA,NA
FCPT16,436736,3681651,239,NA,170,158,12,NA,NA
FCPT17,437038.98,3681393.07,NA,NA,179,164,15,NA,NA
FCPT18,436917.13,3681415.9,NA,NA,171,159,12,NA,NA
FCPT19,436781.02,3681421.4,NA,NA,177,165,12,NA,NA
FCPT20,437006.25,3681589.13,NA,NA,178,161,17,NA,NA
FCPT21,437034.83,3681653.04,NA,NA,179,NA,NA,NA,NA
FCPT22,436789.41,3681804.82,275.799988,NA,165.5,150.5,15,NA,NA
FCPT23,436898.02,3681966.45,NA,NA,186,NA,NA,NA,NA
FCPT24,436855.77,3682006.23,NA,NA,NA,0,NA,NA,NA
FCPT25,436741.14,3681167.18,205,NA,182,164,18,NA,NA
FCPT25,436741.14,3681167.18,205,NA,182,164,18,NA,NA
FCPT26,436743.77,3681058.99,NA,NA,NA,0,NA,NA,NA
FCPT27,436747.97,3680950.52,NA,NA,NA,0,NA,NA,NA
FCPT28,436673.9,3681588.23,276.059998,NA,161,151,10,NA,NA
FCPT29,436595.07,3681595.68,NA,NA,174,156,18,NA,NA
FCPT30,436548.86,3681520.58,NA,NA,165,147,18,NA,NA
FCPT31,436530.73,3681334.99,NA,NA,171,154,17,NA,NA
FCPT32,436617.6,3681185.24,NA,NA,186,168,18,NA,NA
FCPT33,436350.5,3680998.7,215.899994,NA,182,172,10,NA,NA
FCPT34,436355.27,3681230.56,234.399994,NA,166,153,13,NA,NA
FCPT35,436388.96,3681491.67,NA,NA,167,148,19,NA,NA
FCPT36,436265.07,3681173.02,240.100006,NA,177,164,13,NA,NA
FCPT37,436187.41,3681356.59,NA,NA,171,154,17,NA,NA
FCPT38,436140.72,3681096.66,256.459991,NA,189,174,15,NA,NA
FCPT39,436493.34,3681110.73,NA,NA,187,160,27,NA,NA
FCPT40,436961.62,3681735.18,NA,NA,178,NA,NA,NA,NA
FCPT43,436143.41,3680736.15,NA,NA,172,NA,NA,NA,NA
FCPT48,436018.32,3681471.32,NA,NA,183,172,11,NA,NA
FCPT49,436296.19,3681583.07,NA,NA,174,155,19,NA,NA
FCPT50,436312.94,3681732.75,NA,NA,168,152,16,NA,NA
FCPT53,436726.43,3681679.46,NA,NA,169,159,10,NA,NA
FCPT56,436679.32,3681448.59,NA,NA,163,147,16,NA,NA
FCPT57,436674.4,3681369.07,NA,NA,167,153,14,NA,NA
FCPT58,436734,3681589,238,NA,166,152,14,NA,NA
FCPT58,436734,3681589,238,NA,166,NA,14,NA,
FCPT59,436910.98,3681328.41,NA,NA,177,162,15,NA,NA
FCPT6,436444.926,3681187.891,226.1,NA,165,148.5,16.5,NA,NA
FCPT6,436444.926,3681187.891,226.1,NA,165,148.5,16.5,NA,NA
FCPT60,436723.77,3681318.65,NA,NA,163,146,17,NA,NA
FCPT61,436723.65,3681261.16,NA,NA,186,NA,NA,NA,NA
FCPT62,436726.85,3681228.37,NA,NA,181,166,15,NA,NA
FCPT63,436213.45,3681140.37,NA,NA,185,167,18,NA,NA
FCPT64,436285.62,3681078.66,NA,NA,186,165,21,NA,NA
FCPT65,436430.22,3681278.32,NA,NA,163,151,12,NA,NA
FCPT66,436483.95,3681311.7,NA,NA,165,154,11,NA,NA
FCPT67,436581.4,3681372.57,NA,NA,NA,0,NA,NA,NA
FCPT68,436419.33,3681156.47,NA,NA,176,156,20,NA,NA
FCPT69,436360.19,3681123.32,NA,NA,179,161,18,NA,NA
FCPT7,436750.62,3681369.15,NA,NA,NA,0,NA,NA,NA
FCPT70,436469.09,3681082.64,NA,NA,NA,0,NA,NA,NA
FCPT71,436425.22,3681053.51,NA,NA,169,145,24,NA,NA
FCPT72,436908.23,3681373.7,NA,NA,171,159,12,NA,NA
FCPT73,436799.94,3681288.05,NA,NA,177,162,15,NA,NA
FCPT74,436549.88,3681172.45,NA,NA,172,NA,NA,NA,NA
FCPT75,436529.81,3681140.09,NA,NA,182,161,21,NA,NA
FCPT76,436689.4,3681194.35,NA,NA,174,152,22,NA,NA
FCPT77,436787.87,3681319.92,NA,NA,174,156,18,NA,NA
FCPT78,436875.86,3681365.57,NA,NA,162,145,17,NA,NA
FCPT79,436793.08,3681354.97,NA,NA,170,NA,NA,NA,NA
FCPT8,436789.459,3681398.089,230.62,NA,164.75,153.75,11,NA,NA
FCPT80,436975.13,3681442.81,NA,NA,171,156,15,NA,NA
FCPT81,436946.1,3681421.44,NA,NA,172,156,16,NA,NA
FCPT82,436910.46,3681351.73,NA,NA,174,162,12,NA,NA
FCPT83,436892.52,3681306.3,NA,NA,172,157,15,NA,NA
FCPT84,436901.13,3681258.14,NA,NA,178,162,16,NA,NA
FCPT85,436843.31,3681353.37,NA,NA,164,150,14,NA,NA
FCPT86,436765.58,3681291.63,NA,NA,180,167,13,NA,NA
FCPT87,436822.71,3681272.68,NA,NA,189,174,15,NA,NA
FCPT88,436415.78,3681120.3,NA,NA,177,155,22,NA,NA
FCPT89,436736.56,3681194.99,NA,NA,180,160,20,NA,NA
FCPT9,436836.512,3681433.186,229.68,NA,171,154,17,NA,NA
FCPT9,436836.512,3681433.186,229.68,NA,171,154,17,NA,NA
FCPT91,436726.35,3681243.15,NA,NA,188,NA,NA,NA,NA
FCPT92,436698.93,3681233.25,NA,NA,184,NA,NA,NA,NA
FCPT93,436704.7,3681258.07,NA,NA,177,NA,NA,NA,NA
FCPT94,436669.82,3681227.7,NA,NA,169,156,13,NA,NA
FCPT95,436648.53,3681205.83,NA,NA,174,158,16,NA,NA
FCPT96,436596.17,3681214.59,NA,NA,186,NA,NA,NA,NA
FCPT99,436583.15,3681067.41,NA,NA,185,NA,NA,NA,NA
FIW1MC,436719.75,3682122.61,293.3,276,190,185.3,4.7,153,NA
FIW2MA,436719.95,3682034.37,290.5,267,189,179.5,9.5,153,118.923
FNB1A,436727.26,3683631.58,282.4,NA,208,202.4,5.6,175,140.16
FNB3A,436612.63,3683699.91,282.2,NA,211,207.2,3.8,169,143.68
FSB100A,436736.1,3681895,283.8,261,185,182.8,2.2,150,115.8
FSB112A,436440,3681189,227,NA,164,144,20,131,102.884
FSB113A,437007.488,3681579.118,221.3,NA,178,171,7,NA,NA
FSB114A,437046.2,3682032,250,NA,178,173,5,147,112.856
FSB115C,436975.8,3680933,205.8,NA,181,173.8,7.2,140,101.829
FSB116C,437162.073,3681148.166,200.5,NA,176,171,5,NA,NA
FSB120A,436295.4,3681577,278,235,181,165,16,139,111.518
FSB121C,436176.21,3681346.43,254.4,NA,173,162,11,NA,NA
FSB122C,436350.93,3680993.49,216,NA,181,173,8,NA,NA
FSB78A,436681.8,3681563,270.5,228,163,160.5,2.5,132.5,100.5
FSB79A,436871.9,3681290,216.1,NA,173,164.1,8.9,134,103.1
FSB87A,436516.4,3681762,285.6,255,176,172.6,3.4,135,111.141
FSB96A,436562.3,3681523,277.7,234,167,153.7,13.3,135.7,103.7
FSB97A,436556.5,3681628,283.8,244.8,163,151.8,11.2,137.8,107.8
FSB98A,436555.2,3681710,280.7,242,172,168.7,3.3,135,107.7
FSB99A,436552.1,3681815,285.3,247,178,173.3,4.7,137,113.329
FSBCPT1,436719.8153,3681887.2,287.399994,NA,180,164,16,NA,NA
FSBCPT2,436613.3881,3681917.22,294.899994,NA,188,176,12,NA,NA
FSBCPT3,436569.3814,3681890.53,290.700012,NA,187,176,11,NA,NA
FSBCPT4,436495.2899,3681841.65,283.899994,NA,179,162,17,NA,NA
FSBCPT5,436726.7939,3681978.63,287.5,NA,194,177,17,NA,NA
FSBPC,436792.711,3681393.638,230.8,NA,161,157,4,NA,NA
HAA1TA,440702.11,3682657.25,290.2,245,208,204.2,3.8,150,112.136
HAA2AA,440105.86,3682612.63,291.4,272,190,185.4,4.6,157,122.568
HAA3AA,439738.12,3682556.97,274.5,247,191,178.5,12.5,155,113
HAA4AA,440021.9,3683047.92,299.2,247,202,193.2,8.8,156,120.454
HAA6AA,440647.78,3683201.44,279.8,259,210,194.8,15.2,153,121.597
HCA4AA,440229.33,3683301.12,308.6,291,234,229.6,4.4,150,118.182
HCH1,439681.2,3683009,284,267,202,187,15,170,129.463
HCH2,439526,3682791,271,231,196,180,16,166,124.317
HCH3,439576,3682632,264,NA,197,195,2,155,123.327
HCH4,439304.1,3682603,270,NA,193,183,10,153,117.786
HCH5,439465.9,3682484,255,NA,192,180,12,158,119.963
HIW2MC,438563.2,3682357,269,254,199,193,6,145,NA
HIW5MC,438454.7,3682403,266.1,NA,184,178.1,5.9,142,NA
HPC1,440498.6,3682699,293.5,239,195,187.5,7.5,148,112.798
HPT1A,439230.6,3683452.72,233.8,NA,172.8,170.8,2,153,121.15
HPT2A,439096.9,3683437,257.8,249,186.8,177.8,9,157,120.755
HSB101C,439252.9,3682397,256.3,NA,195,189.3,5.7,NA,NA
HSB103C,439256.6,3682245,245.2,NA,195,181.2,13.8,NA,NA
HSB117A,438275.1,3681961,234.8,NA,NA,NA,NA,138,120.359
HSB118A,438431.3,3682061,245,NA,183,173,10,147,115.213
HSB119A,438442.5,3682214,254.8,NA,213,194.8,18.2,142,113.251
HSB120A,438467.5,3682350,266,NA,203,196,7,140,110
HSB121A,438949.8,3682184,272.3,NA,197,184.3,12.7,148,110.519
HSB122A,439007.3,3682291,269.4,NA,188,177.4,10.6,150,109.191
HSB123A,439100.9,3682357,263.6,NA,196,185.6,10.4,156.6,112.6
HSB124A,439195.4,3682430,263.9,NA,201.9,197.9,4,153.9,116
HSB139A,439104,3681959,231.5,NA,190,178.5,11.5,160,114.653
HSB140A,439093,3681544,234,NA,194,181,13,143,111
HSB141A,439533.6,3682303,252.6,NA,181,166.6,14.4,149,119.422
HSB144A,438680.1,3681938,233.6,NA,186,178.6,7.4,141,106.386
HSB146A,439488.8,3681994,249.5,NA,174,162.5,11.5,148,120.036
HSB69A,438806.5,3681901,234.1,NA,187,181.1,5.9,148,112.881
HSB83A,439316.6,3682310,234.9,NA,195,187.9,7.1,142,108.9
HSB84A,438773.8,3681891,226.7,NA,205,180.7,24.3,145,111.7
HSB85A,439014.9,3682899,292.1,274,204,200.1,3.9,162,120.1
HSBTB,439205.2,3682509,267.1,NA,207,190.1,16.9,160,107.1
HSL6AA,439609.26,3682917.17,274.6,240,174,168.6,5.4,160,122.6
HSL8AA,439740.15,3683026.32,286.7,260,193,185.7,7.3,170,128.263
OFS1SB,437594.34,3682308.01,261.6,245.6,196,185.6,10.4,148.6,126.091
OFS2SB,437602.03,3682201.67,257.5,222,194.5,187.5,7,152,123.665
OFS3SB,437854.02,3682233.97,258.1,NA,196,185.1,10.9,165,120.632
OFS4SB,438075.06,3682245.63,258.7,228.7,196,191.7,4.3,147,123.463
OFS5SB,437900.82,3682024.19,228.7,NA,189,177.7,11.3,136,120.025
P27TA,440877.77,3682969.73,274.1,260,180,169.1,10.9,158,126.8
P28TA,437167.19,3683623.85,285.6,265.6,215,210.6,4.4,169,140.499
YSC1A,439853.31,3685110.18,268.9,251,210,198.9,11.1,189,148
YSC1C,439929.71,3685220.93,272.5,254,215,212.5,2.5,185,160
YSC2A,439967.5,3685295.66,281.7,259,220,214.7,5.3,192,154.218
YSC4A,440140.34,3684946.07,287.5,249,223,213.5,9.5,187,148
YSC5A,440942.53,3684491.99,273,246,221,209,12,175,132
